ProductID,ProductName,Category,Brand
P00014,Drone Mini,Books,BrightLux
P00040,Microphone,Home & Kitchen,UrbanStyle
P00044,Power Bank 20000mAh,Clothing,UrbanStyle
P00041,Webcam Full HD,Home & Kitchen,Zenith
P00029,T-Shirt,Clothing,KiddoFun
P00023,Cookware Set,Books,ReadMore
P00030,Dress Shirt,Clothing,UrbanStyle
P00028,Jeans,Toys & Games,KiddoFun
P00031,Kids Toy Car,Sports & Outdoors,Apex
P00001,Wireless Earbuds,Clothing,Apex
P00046,Car Charger,Books,HomeEase
P00042,Projector Mini,Home & Kitchen,KiddoFun
P00018,Vacuum Cleaner,Home & Kitchen,Zenith
P00035,Desk Plant,Books,HomeEase
P00025,Running Shoes,Home & Kitchen,Zenith
P00039,Graphic Tablet,Toys & Games,KiddoFun
P00033,Puzzle 1000pc,Electronics,ReadMore
P00010,Smartwatch,Books,ReadMore
P00003,Smartphone Case,Toys & Games,Apex
P00021,Backpack,Electronics,ReadMore
P00008,4K Monitor,Toys & Games,KiddoFun
P00036,Smart Light Bulb,Toys & Games,UrbanStyle
P00019,LED Desk Lamp,Books,HomeEase
P00045,Phone Tripod,Toys & Games,ReadMore
P00006,Gaming Mouse,Sports & Outdoors,FitLife
P00047,Memory Card 128GB,Electronics,CoreTech
P00032,Board Game,Electronics,CoreTech
P00015,Instant Pot,Electronics,ReadMore
P00022,Water Bottle,Books,HomeEase
P00009,Portable SSD 1TB,Toys & Games,HomeEase
P00012,Noise Cancelling Headphones,Books,KiddoFun
P00050,Novel Bestseller,Electronics,NexPro
P00049,Children's Book,Sports & Outdoors,FitLife
P00005,Laptop Sleeve,Clothing,UrbanStyle
P00016,Air Fryer,Toys & Games,Apex
P00027,Winter Jacket,Electronics,NexPro
P00037,Router,Books,BrightLux
P00004,USB-C Charger,Toys & Games,HomeEase
P00011,Fitness Band,Home & Kitchen,Zenith
P00026,Sunglasses,Toys & Games,NexPro
P00007,Mechanical Keyboard,Electronics,CoreTech
P00017,Electric Kettle,Sports & Outdoors,KiddoFun
P00048,Wireless Charger,Clothing,HomeEase
P00043,HDMI Cable 2m,Electronics,NexPro
P00034,Desk Organizer,Clothing,HomeEase
P00024,Yoga Mat,Sports & Outdoors,UrbanStyle
P00013,Action Camera,Toys & Games,ReadMore
P00038,External HDD 2TB,Home & Kitchen,UrbanStyle
P00020,Office Chair,Electronics,FitLife
P00002,Bluetooth Speaker,Electronics,KiddoFun
